# SPDX-License-Identifier: LGPL-2.1-or-later
# Source: libseccomp v2.6.0 src/syscalls.csv
# Source commit: c7c0caed1d04292500ed4b9bb386566053eb9775
# Source SHA-256: 3fc607fffc9c3b0aca77fd6ffc3aa0f86c61b90dc255baedfc396e9a5e102fdc
name,x86_64,aarch64
pread64,17,67
preadv,295,69
preadv2,327,286
prlimit64,302,261
process_madvise,440,440
process_mrelease,448,448
process_vm_readv,310,270
process_vm_writev,311,271
prof,PNR,PNR
profil,PNR,PNR
pselect6,270,72
pselect6_time64,PNR,PNR
ptrace,101,117
putpmsg,182,PNR
pwrite64,18,68
pwritev,296,70
pwritev2,328,287
query_module,178,PNR
quotactl,179,60
quotactl_fd,443,443
read,0,63
readahead,187,213
readdir,PNR,PNR
readlink,89,PNR
readlinkat,267,78
readv,19,65
reboot,169,142
recv,PNR,PNR
recvfrom,45,207
recvmmsg,299,243
recvmmsg_time64,PNR,PNR
recvmsg,47,212
remap_file_pages,216,234
removexattr,197,14
removexattrat,466,466
rename,82,PNR
renameat,264,38
renameat2,316,276
request_key,249,218
restart_syscall,219,128
riscv_flush_icache,PNR,PNR
riscv_hwprobe,PNR,PNR
rmdir,84,PNR
rseq,334,293
rt_sigaction,13,134
rt_sigpending,127,136
rt_sigprocmask,14,135
rt_sigqueueinfo,129,138
rt_sigreturn,15,139
rt_sigsuspend,130,133
rt_sigtimedwait,128,137
rt_sigtimedwait_time64,PNR,PNR
rt_tgsigqueueinfo,297,240
rtas,PNR,PNR
s390_guarded_storage,PNR,PNR
s390_pci_mmio_read,PNR,PNR
s390_pci_mmio_write,PNR,PNR
s390_runtime_instr,PNR,PNR
s390_sthyi,PNR,PNR
sched_get_priority_max,146,125
sched_get_priority_min,147,126
sched_getaffinity,204,123
sched_getattr,315,275
sched_getparam,143,121
sched_getscheduler,145,120
sched_rr_get_interval,148,127
sched_rr_get_interval_time64,PNR,PNR
sched_setaffinity,203,122
sched_setattr,314,274
sched_setparam,142,118
sched_setscheduler,144,119
sched_yield,24,124
seccomp,317,277
security,185,PNR
select,23,PNR
semctl,66,191
semget,64,190
semop,65,193
semtimedop,220,192
semtimedop_time64,PNR,PNR
send,PNR,PNR
sendfile,40,71
sendfile64,PNR,PNR
sendmmsg,307,269
sendmsg,46,211
sendto,44,206
set_mempolicy,238,237
set_mempolicy_home_node,450,450
set_robust_list,273,99
set_thread_area,205,PNR
set_tid_address,218,96
set_tls,PNR,PNR
setdomainname,171,162
setfsgid,123,152
setfsgid32,PNR,PNR
setfsuid,122,151
setfsuid32,PNR,PNR
setgid,106,144
setgid32,PNR,PNR
setgroups,116,159
setgroups32,PNR,PNR
sethostname,170,161
setitimer,38,103
setns,308,268
setpgid,109,154
setpriority,141,140
setregid,114,143
setregid32,PNR,PNR
setresgid,119,149
setresgid32,PNR,PNR
setresuid,117,147
setresuid32,PNR,PNR
setreuid,113,145
setreuid32,PNR,PNR
setrlimit,160,164
setsid,112,157
setsockopt,54,208
settimeofday,164,170
setuid,105,146
setuid32,PNR,PNR
setxattr,188,5
setxattrat,463,463
sgetmask,PNR,PNR
shmat,30,196
shmctl,31,195
shmdt,67,197
shmget,29,194
shutdown,48,210
sigaction,PNR,PNR
sigaltstack,131,132
signal,PNR,PNR
signalfd,282,PNR
signalfd4,289,74
sigpending,PNR,PNR
sigprocmask,PNR,PNR
sigreturn,PNR,PNR
sigsuspend,PNR,PNR
socket,41,198
socketcall,PNR,PNR
socketpair,53,199
splice,275,76
spu_create,PNR,PNR
spu_run,PNR,PNR
ssetmask,PNR,PNR
stat,4,PNR
stat64,PNR,PNR
statfs,137,43
statfs64,PNR,PNR
statmount,457,457
statx,332,291
stime,PNR,PNR
stty,PNR,PNR
subpage_prot,PNR,PNR
swapcontext,PNR,PNR
swapoff,168,225
swapon,167,224
switch_endian,PNR,PNR
symlink,88,PNR
symlinkat,266,36
sync,162,81
sync_file_range,277,84
sync_file_range2,PNR,PNR
syncfs,306,267
sys_debug_setcontext,PNR,PNR
syscall,PNR,PNR
sysfs,139,PNR
sysinfo,99,179
syslog,103,116
sysmips,PNR,PNR
tee,276,77
tgkill,234,131
time,201,PNR
timer_create,222,107
timer_delete,226,111
timer_getoverrun,225,109
timer_gettime,224,108
timer_gettime64,PNR,PNR
timer_settime,223,110
timer_settime64,PNR,PNR
timerfd,PNR,PNR
timerfd_create,283,85
timerfd_gettime,287,87
timerfd_gettime64,PNR,PNR
timerfd_settime,286,86
timerfd_settime64,PNR,PNR
times,100,153
tkill,200,130
truncate,76,45
truncate64,PNR,PNR
tuxcall,184,PNR
ugetrlimit,PNR,PNR
ulimit,PNR,PNR
umask,95,166
umount,PNR,PNR
umount2,166,39
uname,63,160
unlink,87,PNR
unlinkat,263,35
unshare,272,97
uretprobe,335,PNR
uselib,134,PNR
userfaultfd,323,282
